age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
18,F,554,Célibataire,0,false,7443 XK 87
28,F,413,En Couple,1,false,204 PN 93
38,F,1291,En Couple,2,false,1729 TX 46
45,M,1164,En Couple,2,false,574 YA 40
33,F,1113,En Couple,3,true,3752 ZS 43
45,F,430,En Couple,3,false,7790 UY 89
22,M,462,Célibataire,0,false,2252 CZ 12
54,M,555,En Couple,2,false,9657 XS 88
70,M,434,Célibataire,0,false,753 MU 92
35,Homme,1377,En Couple,2,false,189 PH 48
45,M,1205,En Couple,0,true,4797 OK 15
81,F,1292,En Couple,4,false,6647 BA 46
41,M,160,Célibataire,0,false,7769 NI 37
43,M,750,Célibataire,0,false,6411 WN 25
31,M,581,En Couple,4,false,2592 AV 88
84,M,156,En Couple,3,false,7243 OX 23
25,Féminin,426,En Couple,4,false,6735 OG 37
61,F,949,Seule,1,false,814 ET 94
34,F,159,Célibataire,0,false,9859 HR 60
45,M,417,Célibataire,0,false,699 JM 31
37,M,545,En Couple,0,false,7053 RM 82
60,F,488,En Couple,0,true,5291 SO 72
24,F,569,Célibataire,0,false,7440 BX 72
38,F,476,En Couple,2,false,8761 CX 28
49,F,535,En Couple,3,false,177 VC 40
41,M,490,En Couple,0,false,1397 IX 51
24,F,408,En Couple,0,false,6262 PI 64
74,F,509,En Couple,1,false,5212 KY 15
25,M,572,Célibataire,0,false,8103 BJ 68
79,F,403,En Couple,2,false,1457 MA 13
18,M,593,Seule,1,false,4880 DW 91
83,M,481,En Couple,3,false,5208 SE 81
35,M,249,En Couple,2,true,1036 ZB 85
24,M,156,Célibataire,0,false,9796 TL 26
24,F,981,Seule,3,false,6299 AV 40
43,M,216,En Couple,1,true,96 XI 54
29,F,590,En Couple,3,false,3900 EF 43
36,M,194,En Couple,1,false,5347 TA 69
48,M,416,En Couple,3,false,8243 UL 61
48,F,434,Seule,3,false,7114 DU 71
21,M,470,En Couple,1,false,660 LP 10
38,M,413,Célibataire,0,false,2001 PI 86
45,M,738,Célibataire,0,false,5893 DY 81
27,M,746,Célibataire,0,false,7545 FD 28
30,M,1210,Célibataire,0,false,1472 AD 45
72,F,401,En Couple,1,false,2484 AG 33
20,M,999,En Couple,4,false,2158 TT 40
46,M,470,En Couple,1,false,4708 VZ 24
37,M,1038,En Couple,0,false,4396 FI 17
68,M,1184,En Couple,1,true,1359 EA 69
25,F,238,En Couple,3,false,7945 CL 29
32,F,1216,En Couple,1,false,4589 UN 61
28,F,534,En Couple,0,true,6757 DQ 17
29,M,872,Célibataire,0,false,999 FA 84
55,M,873,En Couple,3,false,9588 UO 59
55,F,531,En Couple,0,false,9242 AH 27
84,F,458,En Couple,0,true,3225 ZR 41
72,F,175,Seule,1,false,4434 GJ 76
55,M,511,Célibataire,0,false,9338 LV 21
55,M,178,Seule,2,false,6079 TF 49
24,Femme,191,En Couple,0,false,354 GU 93
22,M,597,Célibataire,0,false,2354 OE 64
81,M,441,En Couple,2,false,7914 DY 17
26,M,736,En Couple,2,true,1216 JS 66
24,M,212,Célibataire,0,false,2718 YG 36
39,Homme,202,En Couple,2,true,7453 GO 27
44,M,911,En Couple,2,false,7901 VA 89
71,F,160,En Couple,1,true,6306 BX 23
64,M,492,Célibataire,0,false,2313 TZ 44
84,M, ,Célibataire,0,false,1544 WA 49
51,F,519,En Couple,0,false,5875 UL 21
31,F,522,Célibataire,0,false,7194 JA 84
34,M,795,En Couple,1,false,8192 HP 21
44,M,578,Célibataire,0,false,3974 HW 53
68,F,473,Célibataire,0,false,9382 QF 67
67,M,1265,En Couple,2,true,4588 YL 14
34,M,402,En Couple,2,false,526 LZ 23
21,M,416,En Couple,4,true,6861 MG 45
42,M,952,En Couple,0,false,5907 ZH 59
34,M,1168,En Couple,2,false,2444 GA 63
46,M,465,En Couple,4,false,5426 WW 35
31,M,459,En Couple,1,false,5712 VW 48
20,M,566,En Couple,2,false,1544 DI 28
44,M,1046,En Couple,3,false,9600 AC 69
38,M,585,En Couple,4,false,5462 WK 93
34,F,456,En Couple,3,true,901 YA 10
53,M,407,En Couple,1,true,3824 WL 43
32,M,443,Célibataire,0,false,8651 EN 93
18,M,595,En Couple,0,true,3113 HM 58
44,Femme,943,En Couple,1,false,3903 QN 23
67,F,1256,Célibataire,0,false,1111 XH 38
26,M,401,Célibataire,0,false,3090 OL 39
73,M,206,Seule,3,false,373 GF 79
18,M,408,En Couple,1,false,1252 ZE 16
24,M,192,En Couple,1,false,4700 BY 92
33,F,204,En Couple,0,false,2857 AV 78
21,M,491,En Couple,3,true,7096 ZV 54
25,M,1143,Seule,3,false,9111 TL 72
56,M,579,En Couple,2,false,1481 GG 16
24,M,941,En Couple,3,false,1397 DG 39
74,M,1080,Célibataire,0,false,1374 QR 19
81,F,1340,En Couple,1,false,5950 WW 73
34,M,707,En Couple,4,false,9755 UQ 96
21,M,443,Célibataire,0,false,539 XV 23
44,F,977,En Couple,4,false,9988 DV 53
83,M,579,Célibataire,0,false,6156 XK 57
54,M,1001,En Couple,4,false,5039 IR 81
24,F,425,En Couple,1,false,8239 DI 72
55,M,530,En Couple,1,false,3942 XY 80
35,M,509,Célibataire,0,false,8615 BG 53
24,M,221,En Couple,2,false,7682 BJ 56
35,M,217,En Couple,0,false,1798 OF 23
24,F,212,En Couple,0,false,2704 PJ 94
20,F,415,Seule,3,false,4786 NZ 48
32,M,171,En Couple,1,false,7199 BD 83
30,Homme,422,En Couple,1,true,3411 EM 96
41,M,1274,En Couple,2,false,8464 RZ 67
24,M,1174,Célibataire,0,false,8483 RG 64
60,F,568,En Couple,2,true,2372 EP 54
27,M,1391,Célibataire,0,false,732 FK 82
22,M,1375,En Couple,0,true,9489 HV 18
36,M,591,En Couple,0,true,2765 LY 62
75,M,453,En Couple,2,false,6797 UF 15
43,M,478,Célibataire,0,false,997 LY 96
66,M,410,En Couple,1,true,5729 UH 44
21,F,166,En Couple,4,false,6342 IW 92
22,M,583,Célibataire,0,false,6854 VO 28
66,M,1219,Célibataire,0,false,4290 GF 74
44,M,438,En Couple,4,false,5675 LF 12
52,M,1363,Célibataire,0,false,113 ND 12
49,M,431,En Couple,1,false,3740 CV 31
29,F,777,Célibataire,0,false,8905 VZ 73
34,M,595,En Couple,2,true,1468 LL 81
79,F,1130,Célibataire,0,false,3604 YH 20
24,F,1133,En Couple,0,false,108 TN 65
46,M,774,En Couple,3,true,2541 IN 29
35,M,1127,Célibataire,0,false,1 AK 80
42,M,442,Célibataire,0,false,3874 GO 58
40,M,406,Célibataire,0,false,9377 LB 80
34,Masculin,479,Célibataire,0,false,5203 FK 77
48,M,531,En Couple,0,false,7317 MV 94
58,F,1315,En Couple,1,false,3633 ZT 94
73,M,769,Seule,3,false,9145 OA 94
43,F,1383,Célibataire,0,false,5583 QY 63
20,M,592,Célibataire,0,false,2247 RC 57
47,M,506,En Couple,0,true,8756 LC 76
34,F,905,Célibataire,0,false,8575 ZZ 32
18,M,472,Seule,3,false,9431 PC 96
49,M,444,En Couple,1,false,1650 UF 68
75,F,489,En Couple,0,true,3505 HW 35
78,M,227,En Couple,0,true,4785 AX 54
19,M,1189,Célibataire,0,false,3774 DK 85
81,M,247,Célibataire,0,false,8258 KR 81
46,M,1287,Célibataire,0,false,2763 YS 68
19,F,1271,En Couple,0,false,6411 YB 28
57,M,459,Célibataire,0,false,7065 XC 92
57,M,1239,Célibataire,0,false,9525 DP 52
55,M,239,En Couple,0,false,3432 YN 36
62,M,504,Célibataire,0,false,3769 SH 74
44,M,529,Célibataire,0,false,6476 BV 14
20,F,1340,En Couple,4,false,1222 PK 14
57,M,510,Marié(e),2,false,5867 TB 48
21,F,211,Seule,1,false,7512 XE 21
68,M,498,En Couple,2,false,717 MY 52
26,M,1047,Seul,0,false,8050 ZM 17
60,M,826,Célibataire,0,false,8506 PN 57
27,M,489,Seul,0,false,3493 TW 18
34,F,241,En Couple,2,false,2111 CW 35
19,M,471,Célibataire,0,false,5622 CV 78
28,F,504,En Couple,0,false,8393 DH 60
56,M,202,En Couple,1,false,4475 BH 38
24,M,919,En Couple,1,false,4615 DQ 39
50,F,438,En Couple,1,false,2622 VM 44
58,F,992,Célibataire,0,false,9867 VL 89
27,M,546,En Couple,0,true,5912 PG 12
73,F,434,En Couple,3,false,2394 RP 78
30,M,461,En Couple,2,false,278 QE 74
49,F,473,Célibataire,0,false,5959 TR 76
64,F,1388,Marié(e),1,false,8936 WA 81
32,F,582,Célibataire,0,false,2987 UX 67
84,F,1181,En Couple,1,false,3164 MF 25
27,M,951,En Couple,0,false,4544 QD 51
58,F,436,Célibataire,0,false,7719 IG 93
23,M,517,Seule,1,false,1392 NU 31
41,M,703,Célibataire,0,false,3244 KI 45
27,Masculin,588,Célibataire,0,false,7786 WU 58
82,M,507,En Couple,1,false,7250 QM 66
35,M,233,En Couple,4,false,9021 SY 71
20,Homme,536,Célibataire,0,false,9361 EC 16
46,M,462,En Couple,0,false,3899 MT 15
59,M,1349,En Couple,2,true,2261 YM 95
58,M,235,En Couple,1,true,1479 QU 14
36,F,533,En Couple,3,false,9305 CZ 43
63,F,528,En Couple,3,true,8038 MK 59
28,M,555,En Couple,0,false,6941 EO 44
77,M,543,En Couple,3,false,2321 GK 53
47,M,856,Célibataire,0,false,1425 VN 90
51,M,524,En Couple,0,false,9681 CN 10
39,M,403,Célibataire,0,false,7047 QW 42
53,M,1381,En Couple,3,true,5170 UJ 26
33,M,598,En Couple,0,false,7459 MT 29
69,M,511,En Couple,2,true,4864 FQ 58
19,M,1305,En Couple,2,false,8702 NT 72
55,F,547,Célibataire,0,false,7756 PE 92
32,Homme,520,En Couple,0,false,1615 SU 39
56,M,497,Célibataire,0,false,4343 BU 30
30,M,548,Célibataire,0,false,1920 VP 96
76,M,558,Célibataire,0,false,8196 KZ 67
61,M,401,En Couple,0,true,6654 RP 95
63,M,442,Seul,0,false,3546 OL 76
34,F,193,En Couple,1,false,9160 JV 70
53,F,?,Célibataire,0,false,1040 CW 64
22,M,1273,En Couple,4,false,1295 PA 43
35,M,183,Célibataire,0,false,7887 AM 18
76,M,936,En Couple,1,false,117 ZP 43
59,M,1275,Célibataire,0,false,4003 XG 27
31,M,570,En Couple,0,false,430 MR 15
74,F,176,En Couple,2,false,1002 QV 64
34,M,538,En Couple,2,false,7313 QG 11
47,M,173,En Couple,4,false,3954 SL 20
25,M,533,En Couple,3,false,4278 RV 34
79,M,1192,En Couple,0,false,8990 NS 74
27,M,207,En Couple,1,false,2825 OM 49
58,M,197,Célibataire,0,false,8658 ZH 20
25,M,495,Seule,2,false,4421 TJ 66
30,M,1231,En Couple,1,false,610 EJ 35
35,F,804,En Couple,2,false,906 UG 16
19,M,531,Célibataire,0,false,4406 QB 73
19,M,1001,En Couple,0,false,1928 YN 87
62,M,201,En Couple,2,false,1017 QE 23
38,F,210,En Couple,1,true,2849 LZ 73
81,M,577,En Couple,2,false,8005 NJ 51
74,M,455,En Couple,0,false,2762 QF 32
40,M,555,En Couple,4,false,279 SE 75
30,M,1293,En Couple,0,false,2841 KE 75
59,F,150,En Couple,0,true,593 DT 16
44,M,405,Célibataire,0,false,1032 WR 93
36,M,422,Célibataire,0,false,8402 YJ 20
84,F,588,En Couple,2,false,7312 RI 77
47,M,498,Célibataire,0,false,639 EZ 35
30,M,570,En Couple,4,false,3695 TJ 96
18,M,525,Célibataire,0,false,3678 KA 22
35,M,524,Marié(e),3,true,9282 DC 39
40,M,494,Célibataire,0,false,1077 FS 98
22,M,1186,En Couple,2,false,2490 GZ 53
47,M,513,En Couple,2,false,2655 UW 52
68,M,423,Célibataire,0,false,4875 KX 90
59,M,1085,En Couple,2,false,9606 SR 82
66,M,999,En Couple,3,false,5976 RG 48
41,M,1216,En Couple,0,false,921 IC 89
70,F,585,Célibataire,0,false,8728 LC 64
46,F,418,Célibataire,0,false,8024 IK 60
49,M,839,En Couple,0,false,2772 GH 33
46,F,428,En Couple,1,false,6018 MF 86
63,F,192,Seule,1,false,7525 UP 98
40,M,530,En Couple,1,false,4381 NC 48
26,M,579,En Couple,2,false,8010 HL 92
39,M,783,Célibataire,0,false,6078 HF 70
46,F,453,En Couple,2,false,6448 QN 94
25,M,206,Seule,2,false,2572 AT 79
40,M,715,Célibataire,0,false,7943 RX 33
42,F,446,Célibataire,0,false,7329 FX 13
62,M,575,En Couple,1,false,1347 JU 94
36,M,427,En Couple,0,true,8872 UT 12
40,F,249,En Couple,1,false,600 PM 63
50,M,982,Célibataire,0,false,8720 UJ 38
62,M,872,Célibataire,0,false,8925 RP 19
24,M,1071,En Couple,4,false,8086 GL 81
83,F,539,Célibataire,0,false,602 SS 19
50,M,856,En Couple,0,false,5662 RV 15
64,M,425,En Couple,1,false,2809 KE 46
84,F,570,En Couple,4,false,1595 EW 49
19,F,248,Célibataire,0,false,5959 NJ 55
30,F,432,En Couple,0,false,3234 CZ 35
45,M,198,En Couple,2,false,1908 ZW 86
25,M,510,En Couple,2,false,11 TG 60
46,M,1394,En Couple,4,false,190 QN 33
19,M,1266,Célibataire,0,false,5231 GI 74
53,M,1280,En Couple,3,false,6730 QH 49
37,M,969,En Couple,1,false,3498 HI 57
34,M,1021,En Couple,1,false,4107 QA 65
19,F,948,En Couple,4,false,298 EY 91
40,M,414,Célibataire,0,false,6584 AD 76
19,F,930,En Couple,1,false,9005 SR 35
27,F,877,En Couple,2,false,1626 SB 63
49,M,564,Célibataire,0,false,7127 CM 96
34,M,547,En Couple,3,false,6123 BA 97
60,M,550,En Couple,4,false,3625 YY 17
59,F,171,Seule,2,false,935 RB 33
19,F,242,En Couple,1,false,9754 CJ 17
77,M,1357,Célibataire,0,false,3950 GU 78
18,M,1346,En Couple,2,true,8114 QZ 53
36,M,487,En Couple,0,false,1088 VM 13
21,M,458,En Couple,0,true,4201 ZE 16
24,M,202,En Couple,3,false,191 DN 94
38,F,701,Seule,2,false,3244 SK 81
52,M,793,En Couple,1,false,6240 YH 63
24,M,488,En Couple,1,true,2008 OH 40
36,F,1341,En Couple,2,false,7305 HR 39
53,M,1301,En Couple,2,false,2141 UN 25
22,F,450,En Couple,1,false,8228 NX 54
29,M,533,En Couple,0,false,3611 RV 62
43,M,976,En Couple,3,false,9482 RC 79
61,F,495,En Couple,1,false,5927 JD 10
49,M,440,Seule,3,false,4617 XQ 44
50,F,897,En Couple,4,false,9063 CC 26
42,F,1205,Célibataire,0,false,8350 YJ 43
21,M,165,En Couple,2,false,2945 LX 30
22,M,152,En Couple,1,false,7307 IF 81
40,F,221,Célibataire,0,false,5328 AH 41
28,M,1334,En Couple,2,true,6625 MC 29
36,M,502,En Couple,3,false,7167 LO 97
27,M,1004,En Couple,2,false,6070 YW 56
53,M,1216,Célibataire,0,false,4075 HI 87
51,M,942,Célibataire,0,false,2353 SM 66
47,F,205,Célibataire,0,false,596 MQ 14
43,M,538,En Couple,1,true,2984 CE 96
35,M,514,Célibataire,0,false,6428 AJ 89
23,M,946,En Couple,2,false,4088 IZ 66
69,M,559,En Couple,0,false,2518 PB 71
23,F,230,Célibataire,0,false,1373 GQ 85
50,F,745,En Couple,1,true,4071 GA 82
51,M,165,Célibataire,0,false,8805 RK 78
46,M,443,Célibataire,0,false,3145 TL 22
24,M,191,En Couple,0,false,3280 VQ 18
19,M,746,Célibataire,0,false,7698 LI 70
81,F,556,En Couple,1,false,6706 ZP 26
75,M,495,En Couple,3,false,4465 IB 21
18,M,753,Célibataire,0,false,7263 AS 33
19,F,443,En Couple,1,true,1313 GL 61
47,F,216,En Couple,4,false,78 LH 36
48,F,559,En Couple,2,false,9555 VZ 37
59,Homme,522,En Couple,1,true,3415 VH 58
66,F,1084,Célibataire,0,false,7912 UI 25
30,M,223,Célibataire,0,false,7588 ZH 84
47,M,713,Célibataire,0,false,9572 CR 63
25,M,178,En Couple,1,false,8035 UD 81
22,M,569,En Couple,3,false,3228 PG 88
68,M,550,En Couple,4,true,2049 RI 10
59,M,209,Célibataire,0,false,7608 ZK 58
51,M,207,En Couple,1,false,592 KV 34
24,M,?,En Couple,3,false,4881 XO 97
69,F,455,En Couple,0,false,6897 NL 39
38,M,964,Célibataire,0,false,8947 FJ 92
26,M,168,Célibataire,0,false,9786 IB 60
20,M,951,Célibataire,0,false,44 FE 79
38,F,1101,En Couple,2,false,7314 PN 20
24,F,457,En Couple,2,false,4011 LG 18
29,M,460,En Couple,2,false,479 ZZ 98
57,M,753,En Couple,1,true,7009 NL 73
34,M,162,Célibataire,0,false,4142 WV 33
62,M,541,En Couple,4,false,5347 IA 45
38,F,209,En Couple,0,false,3771 VO 44
52,M,512,En Couple,3,true,7477 IB 79
46,F,409,Célibataire,0,false,8356 XA 71
20,F,462,En Couple,1,false,4080 TP 49
27,M,433,En Couple,1,false,1929 GY 83
34,F,417,Célibataire,0,false,4204 LL 95
53,M,206,Célibataire,0,false,2271 YA 77
44,M,558,En Couple,4,false,5350 QD 66
45,M,545,Célibataire,0,false,8760 DL 31
21,M,794,En Couple,4,true,8747 QL 69
53,F,735,Célibataire,0,false,6267 WW 59
21,M,881,Célibataire,?,false,7274 AE 67
66,M,431,En Couple,3,false,3394 JA 73
51,M,558,En Couple,1,true,358 BB 36
41,M,423,En Couple,3,false,9046 NG 68
41,M,454,En Couple,3,false,4657 UQ 57
55,M,1227,En Couple,1,false,741 SU 56
34,F,567,Célibataire,0,false,6370 LN 61
60,F,579,Célibataire,0,false,5644 DT 44
31,M,540,En Couple,1,true,415 HF 73
19,F,441,En Couple,2,false,9469 VQ 31
33,M,225,Célibataire,0,false,6003 LK 27
20,M,463,En Couple,3,false,1994 PH 98
38,M,586,Seule,2,false,5625 IQ 20
33,F,586,En Couple,1,false,9751 WR 75
52,M,1378,En Couple,2,false,1390 UM 42
71,M,449,En Couple,4,true,1387 GZ 71
33,F,214,Célibataire,0,false,5938 JU 32
80,M,1027,En Couple,2,true,5359 KF 73
24,M,183,En Couple,2,false,7943 KW 47
19,M,202,En Couple,2,false,6029 ZV 40
35,M,492,En Couple,4,false,8864 AU 90
31,M,473,Seule,3,false,385 VW 82
30,M,199,Célibataire,0,false,4147 VX 90
28,F,856,Célibataire,0,false,8155 ND 18
55,F,530,Célibataire,0,false,8647 UG 93
20,F,184,En Couple,1,true,4299 GW 89
83,M,165,En Couple,2,false,3782 LO 10
30,M,469,En Couple,4,false,2083 WZ 89
79,Femme,206,Célibataire,0,false,3436 VB 92
45,F,558,En Couple,3,false,1336 NF 91
67,F,509,Seule,1,false,5317 VL 41
54,M,1275,En Couple,0,false,6193 TR 60
21,F,202,Célibataire,0,false,5746 OC 31
24,M,587,En Couple,1,false,198 BD 38
82,M,466,En Couple,1,true,4116 MJ 51
29,M,1296,Célibataire,0,false,6401 YV 72
40,M,402,Célibataire,0,false,2991 IT 69
56,M,475,Célibataire,0,false,1312 GT 74
22,M,563,Célibataire,0,false,1192 VA 81
36,M,411,En Couple,1,false,5216 KD 75
31,M,595,En Couple,0,true,1719 AC 28
44,F,535,En Couple,3,false,8515 ZW 88
47,M,1241,En Couple,1,true,1637 QM 70
74,F,561,Célibataire,0,false,7307 NB 61
37,F,1022,En Couple,0,false,1327 CH 75
25,Femme,589,Célibataire,0,false,3980 WL 84
23,F,588,En Couple,4,false,7344 LX 51
27,M,176,En Couple,4,false,6557 PA 80
53,M,487,Seule,1,false,2842 FH 17
50,M,438,En Couple,2,false,2615 GZ 86
52,M,464,En Couple,0,false,1421 AL 79
24,M,872,Célibataire,0,false,884 OQ 74
61,M,1071,Célibataire,0,false,1182 LM 92
21,F,971,En Couple,0,false,7408 RT 42
20,N/D,478,En Couple,3,false,3825 MT 75
38,M,1357,En Couple,2,false,8907 RS 84
25,F,171,En Couple,2,false,7487 XS 64
62,M,471,En Couple,0,false,3637 ND 52
42,F,918,En Couple,3,false,4481 SQ 69
25,M,400,En Couple,2,false,9408 SO 53
52,F,204,Célibataire,0,false,4338 HC 30
28,M,770,En Couple,1,false,9010 ZT 87
29,M,216,Célibataire,0,false,5232 PG 54
36,M,230,Célibataire,0,false,6655 BZ 77
34,M,1268,En Couple,2,false,5114 MA 56
64,F,1358,Célibataire,0,false,8546 WE 54
25,M,431,Célibataire,0,false,8035 OL 53
56,F,560,Seule,1,false,2469 NI 42
74,M,788,En Couple,4,true,8477 HA 61
63,M,1049,En Couple,2,false,5795 AJ 10
63,M,430,En Couple,1,true,1231 WD 15
71,F,233,En Couple,2,false,1949 AI 83
77,M,487,En Couple,2,false,6463 DK 67
19,F,527,Célibataire,0,false,5473 RI 38
74,M,419,En Couple,2,false,8104 LV 50
28,F,580,En Couple,1,false,2596 RC 90
24,M,596,En Couple,1,false,3589 UB 98
27,M,163,Célibataire,0,false,8377 JZ 81
79,F,425,Célibataire,0,false,3843 JF 50
79,M,203,En Couple,2,false,7592 FP 39
47,F,523,En Couple,2,false,2562 NE 12
82,M,1036,En Couple,1,false,1703 FA 95
29,M,412,Célibataire,0,false,5172 UU 52
69,M,1132,En Couple,0,false,5475 VS 96
43,M,492,Célibataire,0,false,3373 MD 64
33,F,1289,Célibataire,0,false,2984 QU 14
53,M,1055,En Couple,4,false,2480 ZM 90
49,M,568,En Couple,4,false,836 KU 20
82,M,1385,Célibataire,0,false,5752 KX 84
56,F,1020,Marié(e),2,false,1656 UG 14
51,M,451,Célibataire,0,false,8524 LU 65
28,M,408,En Couple,3,false,4534 LC 88
71,M,448,En Couple,3,true,1592 VN 10
21,M,210,En Couple,0,true,867 JS 68
73,F,1393,En Couple,0,false,1147 KV 39
52,M,581,Célibataire,0,false,4358 XG 77
22,F,452,Célibataire,0,false,5875 XB 13
50,M,433,Célibataire,0,false,8455 CW 79
46,M,531,Célibataire,0,false,946 BY 97
22,M,542,En Couple,2,false,9296 NI 31
44,F,418,En Couple,3,false,4252 UW 91
37,F,511,En Couple,1,false,1135 HX 22
29,M,1003,En Couple,1,false,7990 DP 98
36,M,489,En Couple,2,false,7314 GT 36
39,F,802,Célibataire,0,false,4024 NF 52
67,F,569,En Couple,2,false,2792 OV 84
51,M,469,Célibataire,0,false,8459 TD 44
81,M,162,En Couple,0,false,9062 WP 48
74,M,560,En Couple,4,false,3196 QU 62
41,F,583,Célibataire,0,false,5567 BQ 25
54,F,554,En Couple,1,false,7014 NE 37
58,F,1138,En Couple,2,false,6283 HP 71
40,M,1079,En Couple,0,false,5915 CO 60
84,F,505,En Couple,2,false,8080 DF 75
79,M,1356,En Couple,2,false,5004 DG 14
32,F,542,En Couple,0,true,3867 XX 83
28,M,562,En Couple,3,false,6475 NU 66
20,M,174,En Couple,3,false,1448 FB 74
53,Masculin,1163,En Couple,3,false,2960 QV 28
23,M,479,En Couple,1,false,6165 GS 78
42,M,214,Célibataire,0,false,113 YK 73
53,M,457,En Couple,1,false,1011 MG 24
27,M,569,Célibataire,0,false,2967 TW 57
72,F,581,En Couple,0,false,6308 SN 63
29,F,500,En Couple,3,true,2719 YR 20
49,M,573,En Couple,0,false,8958 HA 68
30,F,158,En Couple,1,false,1174 ZV 16
39,F,534,En Couple,3,true,2981 DY 50
46,F,445,En Couple,2,false,6828 YU 16
25,M,565,En Couple,2,false,8532 CB 85
40,F,808,Célibataire,0,false,562 MR 28
33,M,406,En Couple,4,true,6997 DX 88
45,M,155,Célibataire,0,false,2395 YK 87
27,M,197,En Couple,3,false,1299 LC 63
31,M,477,En Couple,4,true,7006 QK 32
70,M,1034,En Couple,1,false,7439 VC 23
62,M,561,En Couple,2,false,4273 XD 63
41,M,970,Seule,3,false,4696 RC 95
23,M,576,En Couple,4,false,8687 PM 31
64,M,242,En Couple,3,false,7233 RJ 90
79,M,722,En Couple,2,false,8483 FD 80
54,F,511,En Couple,1,false,2910 MN 23
26,F,587,Célibataire,0,false,1946 AN 43
59,M,248,En Couple,4,false,5814 AZ 54
30,M,234,Marié(e),2,false,4645 PC 44
52,F,584,En Couple,4,false,7570 XH 29
27,F,431,Célibataire,0,false,5460 MZ 34
46,F,547,En Couple,1,true,2604 OE 56
22,F,236,En Couple,4,false,9451 DH 89
63,M,523,En Couple,1,false,7697 BD 38
57,M,466,Célibataire,0,false,7536 ID 37
81,M,719,En Couple,2,false,2543 EX 54
76,M,473,En Couple,0,true,8602 TL 34
32,M,1036,Célibataire,0,false,615 MS 53
19,M,521,En Couple,0,false,355 DZ 51
47,F,1163,En Couple,4,false,1915 JG 69
66,F,509,En Couple,0,false,9063 VR 75
54,M,417,En Couple,1,false,6304 AP 29
70,M,472,Célibataire,0,false,5074 WO 81
20,M,459,En Couple,1,false,8365 BU 31
18,M,208,En Couple,0,false,326 AP 79
28,M,530,En Couple,1,false,7642 GU 54
40,M,221,Seule,1,false,7778 VT 51
71,M,468,En Couple,1,true,2577 UP 15
42,F,1368,Célibataire,0,false,2827 YD 55
79,F,915,Célibataire,0,false,7056 PN 86
23,F,517,En Couple,3,false,6742 EP 89
20,M,228,Célibataire,0,false,4645 MY 81
31,F,541,En Couple,3,false,123 AJ 55
80,F,152,En Couple,2,false,6016 OP 47
51,M,184,En Couple,1,false,3764 HR 71
54,F,1225,En Couple,0,false,4980 HH 57
40,F,592,Célibataire,0,false,2347 EY 90
41,F,507,En Couple,0,true,6741 HP 88
68,Féminin,472,En Couple,3,false,2527 FD 92
24,Homme,557,Célibataire,0,false,4186 MF 69
36,M,760,En Couple,0,false,2079 PF 75
55,M,495,Célibataire,0,false,5196 AH 54
38,M,165,Seule,1,false,8716 SV 13
25,M,186,Célibataire,0,false,485 TV 35
72,M,204,En Couple,1,false,9019 YX 20
42,F,446,Célibataire,0,false,6018 NW 24
73,F,242,En Couple,3,false,4912 QT 40
21,F,410,Seule,1,false,6465 FK 46
69,M,545,En Couple,1,false,6676 MU 21
37,M,541,Célibataire,0,false,8931 OB 59
31,M,716,En Couple,1,true,4912 KH 80
53,M,1154,En Couple,0,false,298 IP 88
19,M,443,En Couple,4,false,1855 RW 54
47,M,554,Célibataire,0,false,8443 PG 16
24,M,571,Célibataire,0,false,1263 ZP 68
57,F,1156,Seule,2,false,1933 AQ 82
28,F,558,Célibataire,0,false,9280 YJ 64
35,F,206,Célibataire,0,false,7384 BT 57
54,F,916,En Couple,2,false,7331 NV 13
35,M,999,Célibataire,0,false,7959 FJ 63
71,F,465,En Couple,0,false,3963 DA 95
24,F,593,En Couple,2,false,2102 TL 67
45,M,568,Célibataire,0,false,191 FU 37
59,M,522,En Couple,0,false,7219 DD 84
38,M,817,En Couple,4,false,4533 ZU 52
28,M,468,En Couple,4,false,208 IY 53
23,M,164,En Couple,4, ,4792 SW 58
23,F,415,En Couple,0,false,9999 JU 80
48,M,240,En Couple,1,false,2083 WA 85
58,F,1324,En Couple,0,false,3092 HW 27
27,M,201,En Couple,0,false,8452 PX 84
80,F,587,Célibataire,0,false,3047 EF 26
46,M,568,Célibataire,0,false,5673 QU 62
21,M,423,En Couple,4,true,2255 JA 52
28,M,1112,Seule,2,false,1589 GP 57
18,M,538,En Couple,0,false,9287 IE 66
40,F,429,Célibataire,0,false,8427 VO 37
36,F,879,En Couple,2,false,4459 GX 71
67,M,538,En Couple,3,false,2769 DS 20
19,M,535,En Couple,3,true,8460 WC 37
40,F,224,En Couple,1,false,6111 SA 57
64,M,517,Seule,3,false,2936 IJ 12
58,M,1213,Célibataire,0,false,8605 WZ 82
25,M,1396,En Couple,4,false,8290 QF 13
27,F,224,Célibataire,0,false,9352 TR 66
40,M,502,En Couple,4,true,495 JI 52
54,M,224,En Couple,4,false,8412 RK 93
32,M,1360,En Couple,-1,false,7766 MK 25
46,F,712,En Couple,2,true,6058 HU 48
51,F,503,Célibataire,0,false,4575 NP 71
79,F,812,Célibataire,0,false,340 KO 80
56,F,499,Célibataire,0,false,7861 PY 16
21,M,194,En Couple,2,false,4316 GU 38
